                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW                Rain    Heat    Cool    In     In    In     In     In   In Air  Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index   Bar    Rain  Rate    D-D     D-D    Temp   Hum    Dew   Heat    EMC Density  Samp   Tx   Recept  Int.
27/05/15  2:15a   16.4   16.4   16.4    86   14.1   0.0   ---   0.00   0.0   ---   16.4   16.6   16.6  1016.5  0.00   0.0   0.007   0.000   25.8    87   23.5   28.4  18.84  .0719    117    1    100.0    5 
27/05/15  2:20a   16.5   16.5   16.4    86   14.1   0.0   ---   0.00   0.0   ---   16.5   16.7   16.7  1016.5  0.00   0.0   0.006   0.000   25.8    87   23.5   28.4  18.84  .0719    117    1    100.0    5 
27/05/15  2:25a   16.5   16.5   16.5    86   14.1   0.0   ---   0.00   0.0   ---   16.5   16.7   16.7  1016.5  0.00   0.0   0.006   0.000   25.8    87   23.5   28.4  18.84  .0719    113    1     99.1    5 
27/05/15  2:30a   16.5   16.5   16.5    86   14.1   0.0   ---   0.00   0.0   ---   16.5   16.7   16.7  1016.5  0.00   0.0   0.006   0.000   25.8    87   23.5   28.4  18.84  .0719    117    1    100.0    5 
27/05/15  2:35a   16.6   16.6   16.5    85   14.0   0.0   ---   0.00   0.0   ---   16.6   16.7   16.7  1016.5  0.00   0.0   0.006   0.000   25.8    87   23.5   28.4  18.84  .0719    117    1    100.0    5 
27/05/15  2:40a   16.7   16.7   16.6    87   14.5   0.0   ---   0.00   0.0   ---   16.7   16.9   16.9  1016.5  0.00   0.0   0.006   0.000   25.9    87   23.6   28.7  18.83  .0718    117    1    100.0    5 
27/05/15  2:45a   16.7   16.7   16.7    86   14.4   0.0   ---   0.00   0.0   ---   16.7   16.9   16.9  1016.5  0.00   0.0   0.006   0.000   25.9    87   23.6   28.7  18.83  .0718    117    1    100.0    5 
27/05/15  2:50a   16.8   16.8   16.7    87   14.6   0.0   ---   0.00   0.0   ---   16.8   17.0   17.0  1016.6  0.00   0.0   0.005   0.000   25.9    87   23.6   28.7  18.83  .0718    117    1    100.0    5 
27/05/15  2:55a   16.8   16.8   16.7    87   14.6   0.0   ---   0.00   0.0   ---   16.8   17.0   17.0  1016.5  0.00   0.0   0.005   0.000   25.9    87   23.6   28.7  18.83  .0718    117    1    100.0    5 
27/05/15  3:00a   16.8   16.8   16.8    87   14.6   0.0   ---   0.00   0.0   ---   16.8   17.0   17.0  1016.6  0.00   0.0   0.005   0.000   25.9    87   23.6   28.7  18.83  .0718    117    1    100.0    5 
